FirstName,Surname,DOB,Email,ContactNumber,Address,City,GenderID,Marketing
"Niesha","Bruch",NULL,"niesha.bruch@yahoo.com","01642-322954","Broxburn, Uphall and Winchburg","West Lothian",3,1
"Rueben","Gastellum",NULL,"rueben_gastellum@gastellum.co.uk","01342-793603","Weston-Super-Mare","North Somerset",1,0
"Michell","Throssell",NULL,"mthrossell@throssell.co.uk","01956-535511","Carbrooke","Norfolk",2,1
"Edgar","Kanne",NULL,"edgar.kanne@yahoo.com","01672-496478","New Milton","Hampshire",3,1
"Dewitt","Julio",NULL,"dewitt.julio@hotmail.com","01666-638176","Parkham","Devon",2,0
"Charisse","Spinello",NULL,"charisse_spinello@spinello.co.uk","01241-964675","Darnall Ward","Yorkshire, South",2,1
"Mee","Lapinski",NULL,"mee.lapinski@yahoo.com","01207-428520","Marldon","Devon",1,1
"Peter","Gutierres",NULL,"peter_gutierres@yahoo.com","01939-815208","Prestatyn Community","Denbighshire",2,1
"Octavio","Salvadore",NULL,"octavio.salvadore@yahoo.com","01859-648598","Lye and Stourbridge North Ward","West Midlands",2,0
"Martha","Teplica",NULL,"mteplica@teplica.co.uk","01743-139456","Warlingham","Surrey",2,1
"Tamesha","Veigel",NULL,"tveigel@veigel.co.uk","01583-287367","Newport","Isle of Wight",1,0
"Tess","Sitra",NULL,"tess_sitra@hotmail.com","01280-786847","Chichester","West Sussex",1,1
"Leonard","Kufner",NULL,"lkufner@kufner.co.uk","01848-116775","Steornabhagh a Deas Ward","Western Isles",1,0
"Svetlana","Tauras",NULL,"svetlana_tauras@tauras.co.uk","01604-718601","South Ward","Cornwall",2,1
"Pok","Molaison",NULL,"pok@yahoo.com","01509-121140","Newquay","Cornwall",2,0
"Augustine","Growcock",NULL,"augustine.growcock@growcock.co.uk","01315-284286","Brimpton","Berkshire",1,1
"Karma","Quarto",NULL,"kquarto@gmail.com","01926-108010","Shard End Ward","Berkshire",1,1
"Reed","Weisinger",NULL,"reed_weisinger@yahoo.com","01307-667811","Aldridge Central and South War","West Midlands",2,0
"German","Zelaya",NULL,"german@hotmail.com","01292-297245","East Putney Ward","Greater London",1,1
"Milly","Savidge",NULL,"milly@gmail.com","01366-210656","Sawston","Cambridgeshire",1,0
"Luis","Ear",NULL,"luis@hotmail.com","01421-132652","Wakefield North Ward","West Yorkshire",1,0
"Ciara","Cobbley",NULL,"ciara_cobbley@hotmail.com","01405-648623","St. Enoder","Cornwall",1,0
"Alethea","Mould",NULL,"alethea@hotmail.com","01809-443217","Ryde","Isle of Wight",3,1
"Margurite","Loperfido",NULL,"mloperfido@gmail.com","01351-868965","Laindon Park Ward","Essex",3,0
"Vernice","Sperazza",NULL,"vernice@yahoo.com","01640-661191","Lymington and Pennington","Hampshire",1,1
"Vicente","Rawicki",NULL,"vicente_rawicki@hotmail.com","01286-258121","Aylesbury","Buckinghamshire",2,1
"Craig","Cua",NULL,"craig@hotmail.com","01818-980469","Burmantofts and Richmond Hill ","West Yorkshire",3,0
"Jenise","Dulle",NULL,"jenise.dulle@hotmail.com","01572-193368","Howard Town Ward","Derbyshire",2,1
"Marylin","Cornelison",NULL,"marylin_cornelison@yahoo.com","01295-331807","Farnham","Surrey",2,1
"Marget","Gunst",NULL,"mgunst@yahoo.com","01512-975244","Beeston West Ward","Nottinghamshire",1,1
"Annett","Bunselmeyer",NULL,"abunselmeyer@hotmail.com","01333-972244","Wollaton West Ward","Nottinghamshire",2,0
"Kip","Turziano",NULL,"kip.turziano@yahoo.com","01222-164469","Llangeler Community","Ceredigion",1,0
"Melina","Orizabal",NULL,"melina@gmail.com","01245-559333","Brockley Ward","Greater London",3,0
"Tina","Clapham",NULL,"rclasham@gmail.com","01493-245349","Meads Ward","East Sussex",3,0
"Luisa","Devereux",NULL,"ldevereux@gmail.com","01334-807355","Broxburn, Uphall and Winchburg","West Lothian",1,1
"Pedro","Aschoff",NULL,"paschoff@yahoo.com","01823-517315","St. Ive","Cornwall",2,0
"Carrol","Kunimitsu",NULL,"carrol_kunimitsu@yahoo.com","01415-364461","Shard End Ward","West Midlands",3,1
"Alba","Mosseri",NULL,"alba@gmail.com","01231-806535","Norton Canes","Staffordshire",2,1
"Domonique","Sandlin",NULL,"domonique@hotmail.com","01987-728730","Bulwell Ward","Surrey",2,0
"Rory","Neufville",NULL,"rory_neufville@neufville.co.uk","01442-700486","Treorchy Community","Surrey",1,1
"Dustin","Klingaman",NULL,"dklingaman@gmail.com","01523-775781","Maybury and Sheerwater Ward","Surrey",2,1
"Lyndia","Moonshower",NULL,"lyndia_moonshower@moonshower.co.uk","01789-132579","Westgate Ward","Gloucestershire",2,1
"Jules","Hiltner",NULL,"jules@yahoo.com","01814-878359","Conisbrough and Denaby Ward","South Yorkshire",2,0
"Dong","Kopczynski",NULL,"dkopczynski@kopczynski.co.uk","01639-518104","Newbold and Brownsover Ward","Warwickshire",1,1
"Justine","Salta",NULL,"justine_salta@yahoo.com","01376-851958","Middlewich","Cheshire",1,0
"Chantay","Kamens",NULL,"ckamens@hotmail.com","01245-146126","St. Marys Ward","Greater Manchester",1,1
"Tequila","Chisum",NULL,"tequila.chisum@chisum.co.uk","01702-946496","Gresham Ward","Middlesbrough",2,0
"Maybelle","Consolazio",NULL,"mconsolazio@yahoo.com","01351-200904","Aldborough Ward","Greater London",2,1
"Margarett","Bairo",NULL,"margarett@gmail.com","01903-424890","Royal Hospital Ward","Greater London",1,0
"Janessa","Noonon",NULL,"jnoonon@yahoo.com","01841-979075","Woodstock Ward","Stirling",1,1
"Sol","Cowser",NULL,"sol@gmail.com","01580-134516","Dunblane and Bridge of Allan W","Stirling",2,1
"Louann","Smethers",NULL,"louann@gmail.com","01488-872531","Kempshott Ward","Hampshire",1,0
"Lindsay","Yadao",NULL,"lindsay_yadao@yadao.co.uk","01481-295251","City and Hunslet Ward","West Yorkshire",1,1
"Malika","Hanton",NULL,"malika@gmail.com","01705-208145","St. Marys Ward","Greater Manchester",1,0
"Stefany","Ferenz",NULL,"stefany@hotmail.com","01704-986828","Gresham Ward","Middlesbrough",1,0
"Abraham","Cratch",NULL,"acratch@gmail.com","01695-305111","Aldborough Ward","Greater London",3,0
"Giuseppe","Rohaley",NULL,"giuseppe@yahoo.com","01866-845669","Royal Hospital Ward","Greater London",3,1
"Kiera","Bassil",NULL,"kbassil@bassil.co.uk","01783-446052","Woodstock Ward","Greater London",1,0
"Wendell","Rubano",NULL,"wendell_rubano@hotmail.com","01752-386691","Dunblane and Bridge of Allan W","Stirling",2,1
"Stevie","Stifflemire",NULL,"stevie_stifflemire@stifflemire.co.uk","01411-169215","Kempshott Ward","Hampshire",3,1
"Yun","Paletta",NULL,"yun_paletta@paletta.co.uk","01374-255198","City and Hunslet Ward","West Yorkshire",2,0
